Crop,Records,Average_Yield,Median_Yield,Minimum_Yield,Maximum_Yield,Performance_Score
Coconut,172,8652.000198744186,8466.315523,0.0,21105.0,100.0
Sugarcane,605,51.72743941127438,53.15815789,0.29,165.0,0.5978668310569673
Banana,245,26.851127854040815,17.94875,0.0,126.3876923,0.310345899644549
Tapioca,201,16.66730148311443,11.11777778,0.0,42.09785714,0.19264102057618585
Potato,628,13.331717759538218,10.175284090000002,0.0,311.02,0.1540882738476275
Onion,454,13.247524628323788,9.192846154000001,0.0,381.42,0.15311516786888918
Sweet potato,273,9.240788497794872,8.512727273,0.0,26.33944444,0.10680522752572459
Jute,181,7.555392696430939,8.14625,0.0,25.43055556,0.08732538745812307
Ginger,323,6.442201573232198,4.8875,0.0,36.35782609,0.07445910107777466
Mesta,210,5.389203528904762,4.93525,0.0,17.67875,0.06228852756715135
Garlic,250,4.544885948904,3.3068068965,0.0,17.0,0.05252988724576864
Maize,975,3.4272159774543587,1.955454545,0.0,989.87,0.03961183424327486
Turmeric,337,3.325392493047478,2.015714286,0.0,19.30891304,0.03843495627207856
Cashewnut,134,3.1204381424402983,0.4625,0.0,338.5489655,0.036066089583460956
Bajra,524,2.4274620064561065,1.0359375,0.208,74.30307692,0.02805665685038294
Rice,1197,2.218494541018379,2.203636364,0.016666667,8.778275862,0.0256414064962734
Tobacco,364,2.110708415263736,1.3938888889999999,0.0,57.1205,0.02439561219115667
Dry chillies,419,2.078329703491647,1.012857143,0.205,14.0,0.024021378360501083
Arecanut,162,2.073635437234568,1.2940584419999999,0.0,10.94818182,0.023967121932516256
Wheat,545,2.0050864420862387,1.668461538,0.0,5.068636364,0.023174831206976526
Oilseeds total,29,1.9955592676551723,1.115294118,0.9325,8.527692308,0.02306471592481958
Cotton(lint),476,1.7970441190063025,1.4283653845,0.0,95.99391304,0.02077027366766749
other oilseeds,126,1.7892204170396826,0.605,0.0,21.38,0.020679847156029687
Barley,297,1.5955400493097642,1.371714286,0.26,3.988235294,0.01844128539827533
Peas & beans (Pulses),369,1.3938954407669375,0.934444444,0.211666667,13.10181818,0.016110672777946276
Groundnut,725,1.360983478711724,1.195,0.204166667,3.673448276,0.015730275629319414
Sannhamp,160,1.27495866810625,0.4046190475,0.0,6.622608696,0.01473599906171184
Ragi,498,1.215408287676707,1.0393333335000001,0.0775,4.336538462,0.0140477145140741
Soyabean,349,1.0831943599426934,1.008,0.0,2.845,0.01251958316066516
Jowar,513,1.0724982779980505,0.97952381,0.003571429,3.579090909,0.012395957620917768
Arhar/Tur,508,0.967347756984252,0.7785855265,0.136666667,68.23,0.011180625690746746
Guar seed,63,0.9518750033492064,0.812419355,0.0,10.65148148,0.01100179127928555
Sunflower,441,0.9340864302335601,0.843333333,0.0,5.02,0.010796190577632443
Gram,490,0.8764689137326531,0.818733766,0.0,9.38,0.010130246111874457
Other Summer Pulses,10,0.8599253987,0.6793750000000001,0.334666667,2.8,0.009939035817692373
Other Cereals,146,0.8495458645616438,0.7785576925,0.095454545,4.394,0.009819068944137947
Black pepper,126,0.8296046303571429,0.5171428570000001,0.141666667,4.133571429,0.009588587740411261
Cowpea(Lobia),134,0.8132239215895523,0.7637499999999999,0.0,2.523333333,0.009399259164459906
Rapeseed &Mustard,528,0.7915678563996212,0.7381891025,0.08,6.345,0.009148957908190005
Khesari,75,0.7889407394533333,0.792758621,0.28125,1.545652174,0.009118593635352041
Other  Rabi pulses,355,0.7803798285887323,0.740909091,0.0,4.0,0.009019646447789059
Small millets,485,0.7687220714474228,0.75,0.0,2.8775,0.008884905845922202
Masoor,324,0.7031530066604939,0.705,0.258888889,2.12375,0.008127057218081832
Other Kharif pulses,382,0.6995134804162303,0.6445833335,0.0,2.8,0.008084991497315992
Castor seed,300,0.6936094939966667,0.59,0.07,2.466333333,0.008016753098287517
Coriander,199,0.6482002338542713,0.481935484,0.0,5.4925,0.0074919119159099845
Sesamum,685,0.6117499490642335,0.438,0.0,69.36666667,0.007070618758804782
Urad,733,0.5840477716793997,0.57,0.0,4.1875,0.006750436410810214
Safflower,169,0.5654818957928993,0.556666667,0.0,1.256666667,0.006535851627407237
Moong(Green Gram),740,0.5309404007337838,0.5112581700000001,0.0,1.773333333,0.006136620302099026
Linseed,308,0.47393049192532466,0.4410416665,0.0,1.213333333,0.005477698578810878
Horse-gram,371,0.4628220138005391,0.422,0.0,1.3,0.005349306555352558
Moth,110,0.4459953350454546,0.433,0.0,1.0,0.005154823448919818
Niger seed,192,0.423523330609375,0.35951190499999996,0.0,4.987647059,0.004895091549707179
Cardamom,74,0.1683552699054054,0.07677777799999999,0.0,2.87,0.0019458537452396462
