Yield,Fertilizer,Yield_per_Fertilizer,Pesticide,Yield_per_Pesticide
0.796086957,7024878.38,1.1332394867738621e-07,22882.34,3.4790452243957565e-05
0.710434783,631643.29,1.1247404892087113e-06,2057.47,0.0003452953301870744
0.238333333,75755.32,3.1460936736852273e-06,246.76,0.000965850757821365
5238.051739,1870661.52,0.0028001066376775637,6093.36,0.8596327377670121
0.420909091,165500.63,2.5432476661871316e-06,539.09,0.0007807770335194494
0.643636364,1293074.79,4.977564863050187e-07,4211.97,0.00015281124129564076
0.465454545,283511.43,1.6417487824035877e-06,923.49,0.0005040168761979014
9.919565217,8995468.4,1.1027291493792586e-06,29301.2,0.00033853784885943237
0.461363636,961026.66,4.800737120029532e-07,3130.38,0.00014738262958490663
0.615652174,1828786.72,3.366451468982671e-07,5956.96,0.000103350060097768
4.568947368,562930.55,8.116360655857102e-06,1833.65,0.0024917227213481306
0.482352941,943515.38,5.112295477366781e-07,3073.34,0.00015694747115516016
2.342608696,745371.44,3.1428742373064367e-06,2427.92,0.0009648623908530758
0.520869565,10306625.49,5.05373524540475e-08,33572.07,1.5514967203392583e-05
7.561304348,7162399.03,1.0556943722807355e-06,23330.29,0.00032409817229018585
0.554782609,26580219.64,2.087200995755203e-08,86580.52,6.407707056968472e-06
0.780869565,57802260.86,1.3509325645432895e-08,188280.98,4.1473629731478984e-06
1.060434783,16652275.58,6.36810733707543e-08,54241.94,1.9550089524821568e-05
0.941304348,165911859.6,5.673520568507931e-09,540429.51,1.7417708148468796e-06
0.487391304,1500355.05,3.248506438526001e-07,4887.15,9.972914766274825e-05
0.473,998333.3,4.737896652350472e-07,3251.9,0.0001454534272271595
41.89695652,2980534.06,1.4056862185295745e-05,9708.58,0.004315456690885794
3.440434783,892694.6,3.853988567870804e-06,2907.8,0.0011831744903363368
4.41826087,234594.05,1.8833644203678653e-05,764.15,0.0057819287705293465
0.38,41208.61,9.221373882788087e-06,134.23,0.002830961782015943
0.67,958457.07,6.990401771463797e-07,3122.01,0.00021460533438393854
1.25952381,8060708.66,1.562547243830048e-07,26256.38,4.797020038558247e-05
1.293571429,8860327.0,1.4599590161852942e-07,28861.0,4.482074179688854e-05
0.268235294,40143657.7,6.68188474514618e-09,130761.1,2.0513386167598776e-06
0.404545455,28660350.33,1.4115160852606369e-08,93356.19,4.333354381750155e-06
0.81,78039.4,1.037937247082884e-05,254.2,0.0031864673485444534
0.4375,364025.25,1.2018397075477595e-06,1185.75,0.00036896479021716216
0.058571429,2020459.1,2.8989168352875838e-08,6581.3,8.899674684332883e-06
0.121333333,1648058.89,7.362196444327302e-08,5368.27,2.2601943084084814e-05
1.078333333,17756723.43,6.072817078280078e-08,57839.49,1.864354843031984e-05
1.869444444,434451.05,4.3030036272210644e-06,1415.15,0.0013210221135568666
1.585,481655.37,3.2907346179904524e-06,1568.91,0.0010102555277230689
1.262307692,344420.23,3.6650219181376197e-06,1121.89,0.0011251617288682491
0.709411765,80672373.22,8.793738632993695e-09,262776.46,2.6996777603290642e-06
1.133333333,18312230.72,6.188941971783982e-08,59648.96,1.900005185337682e-05
0.45,17023248.24,2.643443799066635e-08,55450.32,8.115372463134568e-06
0.514705882,15529174.41,3.3144445957703686e-08,50583.63,1.0175344909015031e-05
1.228,37086797.3,3.31115137839093e-08,120803.9,1.0165234731660153e-05
0.510714286,142866539.2,3.574764873985273e-09,465363.32,1.0974528160062122e-06
2.470909091,584058.29,4.230586455677223e-06,1902.47,0.0012987900418929075
2.687777778,47851190.49,5.616950697520671e-08,155867.07,1.724403864138846e-05
1.98,4648483.48,4.2594536659512873e-07,15141.64,0.00013076522754470454
2.165714286,926004.1,2.3387739708711875e-06,3016.3,0.0007180036090574545
1.191333333,85455141.57,1.394103749771601e-08,278355.51,4.279898511798814e-06
1.312222222,2579487.68,5.087142815894355e-07,8402.24,0.00015617528444795674
1.847777778,1286793.57,1.4359550910718336e-06,4191.51,0.00044083821295905294
2.2335,98170710.1,2.275118513174532e-08,319774.3,6.984613835445812e-06
2.073846154,5128616.13,4.043675918478227e-07,16705.59,0.00012414085069728157
2.829444444,25509747.48,1.1091620747003961e-07,83093.64,3.405127569330216e-05
91.74736842,29393920.69,3.1213042107449463e-06,95745.67,0.0009582403926986986
4.452941176,413228.14,1.0775987269405225e-05,1346.02,0.0033082280917074046
0.548333333,23858928.66,2.298231160392765e-08,77716.38,7.055569662405788e-06
1.147857143,7246719.65,1.5839679171250953e-07,23604.95,4.862781505574042e-05
0.240714286,16545780.35,1.4548379158194253e-08,53895.05,4.466352401565635e-06
0.589285714,9143267.41,6.445023289546335e-08,29782.63,1.9786221498907245e-05
5376.054286,84163018.48,6.387668103036885e-05,274146.64,0.019610141076323237
22.80357143,12645713.75,1.803264875420733e-06,41191.25,0.000553602316754165
1.245714286,910681.73,1.3678920362221386e-06,2966.39,0.0004199428551201966
0.806666667,82322.05,9.798913741822513e-06,268.15,0.0030082665187395117
11.20714286,498595.63,2.2477418945689516e-05,1624.09,0.006900567616326681
0.49,2855.1,0.00017162271023782004,9.3,0.052688172043010746
0.796666667,717962.48,1.1096215877464795e-06,2338.64,0.0003406538274381692
0.64,168070.22,3.8079321845357257e-06,547.46,0.0011690351806524677
6.054285714,700165.69,8.646932862420037e-06,2280.67,0.0026546083887629512
0.613333333,42160.31,1.4547647609801732e-05,137.33,0.004466127816209131
8.436666667,403806.31,2.089285496058742e-05,1315.33,0.006414106472900338
0.44,4758.5,9.246611327098876e-05,15.5,0.02838709677419355
1.444285714,1634544.75,8.83601207002745e-07,5324.25,0.0002712655705498427
4.68,446156.96,1.0489581962365888e-05,1453.28,0.0032203016624463283
0.7525,81941.37,9.183395396000824e-06,266.91,0.002819302386572252
0.777142857,181679.53,4.277547707218309e-06,591.79,0.0013132071461160208
8.641428571,1976109.88,4.37294942880403e-06,6436.84,0.0013424954746428372
0.608571429,658005.38,9.248730291536523e-07,2143.34,0.0002839360199501712
1.378571429,10009028.9,1.3773278534543946e-07,32602.7,4.2283965101049914e-05
0.575714286,126195.42,4.5620854227514755e-06,411.06,0.001400560224784703
0.861428571,266856.68,3.2280569892423156e-06,869.24,0.000991013495697391
0.921428571,85462.66,1.0781650968972881e-05,278.38,0.0033099668474746748
2.352,7803.94,0.00030138622285665956,25.42,0.09252557041699448
3.221428571,496026.04,6.494474707416571e-06,1615.72,0.001993803735176887
6.537142857,376778.03,1.7350116876506836e-05,1227.29,0.005326485881087599
0.618,70616.14,8.751540370232642e-06,230.02,0.002686722893661421
5.425714286,133333.17,4.069290699381106e-05,434.31,0.012492722447099997
1.385,407993.79,3.394659511851884e-06,1328.97,0.0010421604701385282
1.691764706,766879.86,2.206036165821332e-06,2497.98,0.000677253102907149
0.777692308,345467.1,2.251132764885571e-06,1125.3,0.0006910977588198703
0.426666667,19700.19,2.165799756246006e-05,64.17,0.0066490052516752374
1.68,582059.72,2.886301769859629e-06,1895.96,0.000886094643346906
0.0,254484.58,0.0,828.94,0.0
0.07,62812.2,1.114433183362468e-06,204.6,0.00034213098729227767
13003.78778,2310061.41,0.005629195710429187,7524.63,1.7281630831017605
2.0,2474420.0,8.082702209002514e-07,8060.0,0.00024813895781637717
0.942777778,6094115.78,1.5470296463583103e-07,19850.54,4.749381014320013e-05
0.5975,2425407.45,2.463503606373436e-07,7900.35,7.56295607156645e-05
1.13,2818459.55,4.009282304583722e-07,9180.65,0.00012308496675072025
0.438888889,537234.65,8.169407706669702e-07,1749.95,0.0002508008165947598
0.482,90221.16,5.342427430549551e-06,293.88,0.0016401252211787124
13.44588235,61058597.58,2.2021276090370368e-07,198887.94,6.760531759743702e-05
1.095882353,2404089.37,4.558409378100615e-07,7830.91,0.00013994316790768888
0.251538462,1568972.62,1.6032049176231004e-07,5110.66,4.921839097102919e-05
2.658461538,3375584.73,7.875558608774723e-07,10995.39,0.00024177964928938402
0.662352941,4872894.34,1.359259804923248e-07,15872.62,4.1729276011143716e-05
9.154166667,922102.13,9.927497583158169e-06,3003.59,0.003047741758029558
0.548888889,141803.3,3.870776554565374e-06,461.9,0.0011883284022515697
0.542857143,311110.73,1.7449000971454763e-06,1013.39,0.0005356843298236611
0.046,947798.03,4.853354675151625e-08,3087.29,1.4899798852715488e-05
0.698888889,4835406877.0,1.4453569405385944e-10,15750511.0,4.437245807453485e-08
0.40375,619747.04,6.514754794149561e-07,2018.72,0.00020000297218039154
0.585,121722.43,4.80601644249133e-06,396.49,0.0014754470478448383
18.23722222,27029707.55,6.747103048105306e-07,88044.65,0.0002071360635768329
0.986,1199808.19,8.217980242325234e-07,3908.17,0.00025229199343938466
0.718333333,31132295.91,2.307357398492619e-08,101408.13,7.08358721337234e-06
1.837222222,40268425.57,4.5624386749521485e-08,131167.51,1.4006686732103095e-05
2.843888889,114853915.9,2.476092231348988e-08,374116.99,7.601603148255844e-06
1.985555556,406407115.8,4.8856318671770655e-09,1323801.68,1.4998889833709835e-06
0.2975,1027836.0,2.8944306290108537e-07,3348.0,8.88590203106332e-05
4.598571429,191767.55,2.3979924804796225e-05,624.65,0.007361836915072441
0.649444444,12173480.21,5.334911896981677e-08,39653.03,1.6378179523733747e-05
0.626666667,480227.82,1.304936200905645e-06,1564.26,0.000400615413678033
1.196666667,147989.35,8.086167464077651e-06,482.05,0.0024824534114718387
67.83625,2455100.49,2.7630742723691934e-05,7997.07,0.008482638016173424
0.0,26457.26,0.0,86.18,0.0
1.661111111,1187816.77,1.3984573656086705e-06,3869.11,0.00042932641124186186
1.825,6592521.07,2.7682884599411674e-07,21474.01,8.498645572019386e-05
0.628333333,1588767.98,3.9548464024306435e-07,5175.14,0.00012141378455462074
1.886666667,34962983.58,5.396183259598122e-08,113885.94,1.6566282606966234e-05
0.35,6520.8,5.367439577965893e-05,19.14,0.018286311389759665
2.17,14721.2,0.00014740646142977472,43.21,0.05021985651469567
0.58,1185.6,0.0004892037786774629,3.48,0.16666666666666666
0.5,197.6,0.0025303643724696357,0.58,0.8620689655172414
0.84,44756.4,1.876826554414564e-05,131.37,0.0063941539164192734
2.75,790.4,0.0034792510121457493,2.32,1.185344827586207
1.54,103344.8,1.4901572212631888e-05,303.34,0.005076811498648382
16.5,2568.8,0.006423232637807536,7.54,2.1883289124668437
3.27,11065.6,0.00029551041064198956,32.48,0.10067733990147784
2.46,488566.0,5.035143665338971e-06,1434.05,0.001715421359087898
2.555,1379346.8,1.8523260430226829e-06,4048.69,0.0006310683208642796
2.55,564740.8,4.515345801117963e-06,1657.64,0.0015383316039670855
0.806666667,14523.6,5.5541784888044284e-05,42.63,0.01892251154116819
0.75,395.2,0.0018977732793522268,1.16,0.646551724137931
82.595,267748.0,0.00030848036213155654,785.9,0.10509606820206133
20.0,64121.2,0.00031190932172198897,188.21,0.1062642792625259
0.784347826,7356351.6,1.0662185124484806e-07,21592.53,3.6324961734451686e-05
0.709130435,756511.6,9.37368885024367e-07,2220.53,0.0003193518822083016
