State,count,mean,median
Goa,246,354.7803048780488,2.03
Puducherry,670,346.5128370746522,1.935
Kerala,534,276.61114843343256,1.7
West Bengal,1094,266.89831094941593,0.95
Tamil Nadu,822,226.05022098285522,1.4871363635
Assam,731,219.71634522824897,0.819259259
Andhra Pradesh,1266,181.4653907765782,1.1321875
Karnataka,1432,105.72057807823953,1.011904762
Telangana,397,99.51820587628211,1.315
Delhi,203,13.118669950738918,2.59
Gujarat,817,6.697227126762546,1.314705882
Haryana,631,5.532732246922346,1.058
Manipur,444,5.2169990883918915,1.1872222225
Uttar Pradesh,825,5.05311334865697,1.206296296
Punjab,397,4.8528172189748116,1.054285714
Maharashtra,770,4.401030011575324,0.6668836405
Tripura,441,4.289017141773242,0.84125
Uttarakhand,764,3.7352091499437177,0.9747435895000001
Arunachal Pradesh,292,3.7350603144315064,1.516882591
Jharkhand,270,3.6097228619814814,1.0447402600000002
Bihar,896,3.476498628319196,1.0669819820000002
Madhya Pradesh,845,3.4578156864461542,0.875
Nagaland,689,3.4025338586719887,1.09
Odisha,760,3.1412508840578948,0.6174999999999999
Meghalaya,649,2.8787882490231125,1.49
Mizoram,416,2.569244848920673,1.32625
Chhattisgarh,915,1.9667325895825136,0.495555556
Himachal Pradesh,616,1.899496479787338,0.7429166665
Jammu and Kashmir,631,1.3080510682709983,0.65
Sikkim,226,1.232856089336283,0.9775
